uri:/instrument/1.0/A/chartdata;type=sma;range=15d/csv
ticker:a
Company-Name:Agilent Technologies, Inc. Comm
Exchange-Name:NYQ
unit:MIN
timezone:EDT
currency:USD
gmtoffset:-14400
previous_close:42.6200
range:20150406,1428327000,1428350400
range:20150407,1428413400,1428436800
range:20150408,1428499800,1428523200
range:20150409,1428586200,1428609600
range:20150410,1428672600,1428696000
range:20150413,1428931800,1428955200
range:20150414,1429018200,1429041600
range:20150415,1429104600,1429128000
range:20150416,1429191000,1429214400
range:20150417,1429277400,1429300800
range:20150420,1429536600,1429560000
range:20150421,1429623000,1429646400
range:20150422,1429709400,1429732800
range:20150423,1429795800,1429819200
range:20150424,1429882200,1429905600
Timestamp:1428327000,1429905600
labels:1428327000,1428413400,1428499800,1428586200,1428672600,1428931800,1429018200,1429104600,1429191000,1429277400,1429536600,1429623000,1429709400,1429795800,1429882200
values:Timestamp,sma
sma:42.0138,43.4254
1429731898,42.6930
1429732147,42.6944
1429732440,42.6952
1429732799,42.6960
1429732800,42.6968
1429796090,42.6892
1429796357,42.6839
1429796648,42.6787
1429796971,42.6737
1429797276,42.6685
1429797541,42.6637
1429797898,42.6593
1429798195,42.6549
1429798493,42.6533
1429798782,42.6499
1429799099,42.6485
1429799387,42.6479
1429799641,42.6469
1429799945,42.6455
1429800299,42.6459
1429800595,42.6460
1429800855,42.6462
1429801160,42.6454
1429801493,42.6448
1429801799,42.6458
1429802040,42.6464
1429802341,42.6467
1429802688,42.6447
1429802949,42.6431
1429803242,42.6406
1429803588,42.6376
1429803873,42.6356
1429804191,42.6343
1429804474,42.6367
1429804764,42.6390
1429805067,42.6413
1429805349,42.6428
1429805698,42.6438
1429805984,42.6432
1429806268,42.6424
1429806590,42.6434
1429806862,42.6444
1429807190,42.6450
1429807467,42.6450
1429807762,42.6456
1429808091,42.6468
1429808398,42.6476
1429808681,42.6484
1429808998,42.6481
1429809299,42.6485
1429809599,42.6486
1429809865,42.6476
1429810140,42.6474
1429810453,42.6482
1429810799,42.6486
1429811042,42.6562
1429811363,42.6629
1429811631,42.6694
1429811962,42.6759
1429812299,42.6823
1429812593,42.6882
1429812842,42.6936
1429813199,42.6994
1429813440,42.7030
1429813743,42.7080
1429814094,42.7105
1429814369,42.7121
1429814696,42.7143
1429814943,42.7171
1429815278,42.7183
1429815544,42.7193
1429815841,42.7209
1429816161,42.7230
1429816499,42.7268
1429816772,42.7286
1429817044,42.7304
1429817341,42.7322
1429817698,42.7338
1429817941,42.7340
1429818243,42.7331
1429818541,42.7315
1429818895,42.7295
1429819141,42.7281
1429819200,42.7237
1429882476,42.7203
1429882798,42.7161
1429883067,42.7115
1429883395,42.7085
1429883699,42.7069
1429883985,42.7051
1429884241,42.7023
1429884596,42.6981
1429884884,42.6933
1429885199,42.6887
1429885497,42.6839
1429885741,42.6787
1429885981,42.6741
1429886367,42.6701
1429886640,42.6668
1429886988,42.6635
1429887244,42.6609
1429887484,42.6579
1429887857,42.6549
1429888140,42.6499
1429888498,42.6461
1429888799,42.6423
1429889088,42.6381
1429889357,42.6342
1429889644,42.6297
1429889955,42.6251
1429890258,42.6210
1429890569,42.6170
1429890862,42.6134
1429891187,42.6092
1429891473,42.6052
1429891796,42.6015
1429892094,42.5982
1429892358,42.5944
1429892664,42.5912
1429892995,42.5876
1429893253,42.5848
1429893567,42.5803
1429893844,42.5758
1429894122,42.5694
1429894440,42.5633
1429894760,42.5571
1429895082,42.5519
1429895357,42.5467
1429895697,42.5415
1429895943,42.5384
1429896297,42.5362
1429896541,42.5352
1429896889,42.5339
1429897195,42.5325
1429897452,42.5305
1429897744,42.5287
1429898040,42.5269
1429898344,42.5247
1429898587,42.5215
1429898988,42.5183
1429899296,42.5157
1429899544,42.5145
1429899884,42.5131
1429900178,42.5119
1429900479,42.5111
1429900790,42.5106
1429901041,42.5092
1429901398,42.5070
1429901699,42.5051
1429901999,42.5034
1429902290,42.5006
1429902542,42.4982
1429902845,42.4960
1429903145,42.4944
1429903494,42.4930
1429903740,42.4924
1429904098,42.4919
1429904397,42.4917
1429904646,42.4919
1429904940,42.4927
1429905241,42.4933
1429905540,42.4934
1429905600,42.4932
